document_type,field_name,evaluated_count,exact_matches,exact_match_pct,normalized_matches,normalized_match_pct
invoice,invoice_number,36,28,77.8%,28,77.8%
invoice,vendor_name,36,36,100.0%,36,100.0%
invoice,invoice_date,36,36,100.0%,36,100.0%
invoice,total_amount,36,36,100.0%,36,100.0%
invoice,tax_amount,36,36,100.0%,36,100.0%
invoice,currency,36,32,88.9%,32,88.9%
invoice,line_items_count,36,36,100.0%,36,100.0%
insurance_claim,claim_id,32,25,78.1%,25,78.1%
insurance_claim,policy_number,32,32,100.0%,32,100.0%
insurance_claim,patient_name,32,32,100.0%,32,100.0%
insurance_claim,hospital_name,32,32,100.0%,32,100.0%
insurance_claim,admission_date,32,32,100.0%,32,100.0%
insurance_claim,claim_amount,32,32,100.0%,32,100.0%
insurance_claim,diagnosis_code,32,12,37.5%,12,37.5%
kyc_identity,id_number,22,22,100.0%,22,100.0%
kyc_identity,full_name,22,22,100.0%,22,100.0%
kyc_identity,dob,22,22,100.0%,22,100.0%
kyc_identity,expiry_date,22,22,100.0%,22,100.0%
kyc_identity,document_type,22,12,54.5%,12,54.5%
kyc_identity,nationality,22,7,31.8%,7,31.8%
